,NumandName,market,product,Num,Name
288,2353　宏碁,上市,電腦及週邊設備業,2353,宏碁
289,2354　鴻準,上市,其他電子業,2354,鴻準
290,2355　敬鵬,上市,電子零組件業,2355,敬鵬
291,2356　英業達,上市,電腦及週邊設備業,2356,英業達
292,2357　華碩,上市,電腦及週邊設備業,2357,華碩
293,2358　廷鑫,上市,其他業,2358,廷鑫
294,2359　所羅門,上市,其他電子業,2359,所羅門
295,2360　致茂,上市,其他電子業,2360,致茂
296,2362　藍天,上市,電腦及週邊設備業,2362,藍天
297,2363　矽統,上市,半導體業,2363,矽統
298,2364　倫飛,上市,電腦及週邊設備業,2364,倫飛
299,2365　昆盈,上市,電腦及週邊設備業,2365,昆盈
300,2367　燿華,上市,電子零組件業,2367,燿華
301,2368　金像電,上市,電子零組件業,2368,金像電
302,2369　菱生,上市,半導體業,2369,菱生
303,2371　大同,上市,電機機械,2371,大同
304,2373　震旦行,上市,其他電子業,2373,震旦行
305,2374　佳能,上市,光電業,2374,佳能
306,2375　凱美,上市,電子零組件業,2375,凱美
307,2376　技嘉,上市,電腦及週邊設備業,2376,技嘉
308,2377　微星,上市,電腦及週邊設備業,2377,微星
309,2379　瑞昱,上市,半導體業,2379,瑞昱
310,2380　虹光,上市,電腦及週邊設備業,2380,虹光
311,2382　廣達,上市,電腦及週邊設備業,2382,廣達
312,2383　台光電,上市,電子零組件業,2383,台光電
313,2385　群光,上市,電子零組件業,2385,群光
314,2387　精元,上市,電腦及週邊設備業,2387,精元
315,2388　威盛,上市,半導體業,2388,威盛
316,2390　云辰,上市,其他電子業,2390,云辰
317,2392　正崴,上市,電子零組件業,2392,正崴
318,2393　億光,上市,光電業,2393,億光
319,2395　研華,上市,電腦及週邊設備業,2395,研華
320,2397　友通,上市,電腦及週邊設備業,2397,友通
321,2399　映泰,上市,電腦及週邊設備業,2399,映泰
322,2401　凌陽,上市,半導體業,2401,凌陽
323,2402　毅嘉,上市,電子零組件業,2402,毅嘉
324,2404　漢唐,上市,其他電子業,2404,漢唐
325,2405　輔信,上市,電腦及週邊設備業,2405,輔信
326,2406　國碩,上市,光電業,2406,國碩
327,2408　南亞科,上市,半導體業,2408,南亞科
328,2409　友達,上市,光電業,2409,友達
329,2412　中華電,上市,通信網路業,2412,中華電
330,2413　環科,上市,電子零組件業,2413,環科
331,2414　精技,上市,電子通路業,2414,精技
332,2415　錩新,上市,電子零組件業,2415,錩新
333,2417　圓剛,上市,電腦及週邊設備業,2417,圓剛
334,2419　仲琦,上市,通信網路業,2419,仲琦
335,2420　新巨,上市,電子零組件業,2420,新巨
336,2421　建準,上市,電子零組件業,2421,建準
337,2423　固緯,上市,其他電子業,2423,固緯
338,2424　隴華,上市,電腦及週邊設備業,2424,隴華
339,2425　承啟,上市,電腦及週邊設備業,2425,承啟
340,2426　鼎元,上市,光電業,2426,鼎元
341,2427　三商電,上市,資訊服務業,2427,三商電
342,2428　興勤,上市,電子零組件業,2428,興勤
343,2429　銘旺科,上市,光電業,2429,銘旺科
344,2430　燦坤,上市,電子通路業,2430,燦坤
345,2431　聯昌,上市,電子零組件業,2431,聯昌
346,2433　互盛電,上市,其他電子業,2433,互盛電
347,2434　統懋,上市,半導體業,2434,統懋
348,2436　偉詮電,上市,半導體業,2436,偉詮電
349,2438　翔耀,上市,光電業,2438,翔耀
350,2439　美律,上市,通信網路業,2439,美律
351,2440　太空梭,上市,電子零組件業,2440,太空梭
352,2441　超豐,上市,半導體業,2441,超豐
353,2442　新美齊,上市,電腦及週邊設備業,2442,新美齊
354,2443　昶虹,上市,其他業,2443,昶虹
355,2444　兆勁,上市,通信網路業,2444,兆勁
356,2449　京元電子,上市,半導體業,2449,京元電子
357,2450　神腦,上市,通信網路業,2450,神腦
358,2451　創見,上市,半導體業,2451,創見
359,2453　凌群,上市,資訊服務業,2453,凌群
360,2454　聯發科,上市,半導體業,2454,聯發科
361,2455　全新,上市,通信網路業,2455,全新
362,2457　飛宏,上市,電子零組件業,2457,飛宏
363,2458　義隆,上市,半導體業,2458,義隆
364,2459　敦吉,上市,其他電子業,2459,敦吉
365,2460　建通,上市,電子零組件業,2460,建通
366,2461　光群雷,上市,其他電子業,2461,光群雷
367,2462　良得電,上市,電子零組件業,2462,良得電
368,2464　盟立,上市,其他電子業,2464,盟立
369,2465　麗臺,上市,電腦及週邊設備業,2465,麗臺
370,2466　冠西電,上市,光電業,2466,冠西電
371,2467　志聖,上市,電子零組件業,2467,志聖
372,2468　華經,上市,資訊服務業,2468,華經
373,2471　資通,上市,資訊服務業,2471,資通
374,2472　立隆電,上市,電子零組件業,2472,立隆電
375,2474　可成,上市,其他電子業,2474,可成
376,2476　鉅祥,上市,電子零組件業,2476,鉅祥
377,2477　美隆電,上市,其他電子業,2477,美隆電
378,2478　大毅,上市,電子零組件業,2478,大毅
379,2480　敦陽科,上市,資訊服務業,2480,敦陽科
380,2481　強茂,上市,半導體業,2481,強茂
381,2482　連宇,上市,其他電子業,2482,連宇
382,2483　百容,上市,電子零組件業,2483,百容
383,2484　希華,上市,電子零組件業,2484,希華
384,2485　兆赫,上市,通信網路業,2485,兆赫
385,2486　一詮,上市,光電業,2486,一詮
386,2488　漢平,上市,其他電子業,2488,漢平
387,2489　瑞軒,上市,光電業,2489,瑞軒
388,2491　吉祥全,上市,光電業,2491,吉祥全
389,2492　華新科,上市,電子零組件業,2492,華新科
390,2493　揚博,上市,電子零組件業,2493,揚博
391,2495　普安,上市,電腦及週邊設備業,2495,普安
392,2496　卓越,上市,其他業,2496,卓越
393,2497　怡利電,上市,汽車工業,2497,怡利電
394,2498　宏達電,上市,通信網路業,2498,宏達電
395,2501　國建,上市,建材營造業,2501,國建
396,2504　國產,上市,建材營造業,2504,國產
